smiles	fraction_unbound
COc1ccc2C=CC(=O)N(CCN3CCC(CC3)NCc4cc5OCCOc5cn4)c2n1	31
COc1ccc2OCC(=O)N(CCN3CCC(CC3)NCc4ccc5OCC(=O)Nc5n4)c2c1	11
COc1ccc2ncc(F)c(CCN3CCC(CC3)NCc4ccc5OCC(=O)Nc5n4)c2n1	6
COc1cc2N(CCN3CCC(CC3)NCc4cc5OCCOc5cn4)C(=O)C=Cc2cn1	17
COc1ccc2CCC(=O)N(CCN3CCC(CC3)NCc4ccc5OCC(=O)Nc5n4)c2c1	4
O=C1COc2ccc(CNC3CCN(CCN4C(=O)COc5ccc(cc45)C#N)CC3)nc2N1	23
COc1ccc2N=CC(=O)N(CCN3CCC(CC3)NCc4cc5OCCOc5cn4)c2n1	47
COc1ccc2COC(=O)N(CCN3CCC(CC3)NCc4ccc5OCC(=O)Nc5n4)c2c1	26
Fc1ccc2OCC(=O)N(CCN3CCC(CC3)NCc4ccc5OCC(=O)Nc5n4)c2c1	17
COc1ncc2C=CC(=O)N(CCN3CCC(CC3)NCc4cc5OCCOc5cn4)c2n1	27
COc1ccc2C=CC(=O)N(CCN3CCC(CC3)NCc4cc5OCCOc5cn4)c2c1	31
COc1ccc2N=CC(=O)N(CCN3CCC(CC3)NCc4cc5OCCOc5cn4)c2c1	57
COc1ccc2ncc(F)c(CCN3CCC(CC3)NCc4cc5OCCOc5cn4)c2n1	17
CCOC(=O)N1CCC(CC1)N2CCC[C@H](C2)NC(=O)c3ccccc3C	5.8
COCCN(C)c1ccc(NC(=O)c2nc(oc2C(F)(F)F)c3ccccc3)cn1	1.5
Clc1cc(NC(=O)c2ccccn2)ccc1N3C(=O)CC4(CCCCC4)C3=O	0.62
Clc1cc(NC(=O)c2ccccn2)ccc1N3C(=O)[C@@H]4[C@H]5C[C@H](C=C5)[C@@H]4C3=O	4.1
Clc1cc(NC(=O)c2ccccn2)ccc1N3C(=O)CC(C3=O)c4ccccc4	0.02
C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2cnc3c(N)nc(O[C@@H]4CC[C@H](CC4)C(F)(F)F)nc23	20
CO[C@@H]1CC[C@@H](CC1)n2nc(C)c(C(=O)N[C@@H](C)C(C)(C)C)c2NS(=O)(=O)c3ccc(C)cc3	7.3
C[C@H](NC(=O)c1c(C)nn(c1NS(=O)(=O)c2ccc(C)cc2)c3ccccc3)C(C)(C)C	4.2
C[C@H](NC(=O)c1c(C)nn(c1NS(=O)(=O)c2ccc(cc2)C#N)c3ccc(F)cc3)C(C)(C)C	8
C[C@H](NC(=O)c1c(C)nn(C2CCOCC2)c1NS(=O)(=O)c3ccc(cc3)C4CC4)C(C)(C)C	7.5
COc1cc2ncnc(Oc3ccc(CC(=O)Nc4cnn(c4)C(C)C)cc3)c2cc1OC	3.3
CC(C)(C)NS(=O)(=O)c1ccc(cc1)c2cc3c(N)ncc(C(=O)NCCN4CCOCC4)c3s2	10.1
CN(C)CCNC(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)S(=O)(=O)NC(C)(C)C	6.4
COCCNC(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)S(=O)(=O)NC(C)(C)C	2.3
CNC(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)S(=O)(=O)NC(C)(C)C	1.2
C[C@@](N)(CCc1ccc(c(F)c1)c2nc3ccc(nc3s2)C4(CC4)c5ccccc5)C(=O)O	3.7
COc1ccc(cn1)[C@@]2(O)CC[C@H](CC2)N3CC[C@H](C3)NC(=O)CNC(=O)c4cccc(c4)C(F)(F)F.CS(=O)(=O)O	58
FC(F)(F)Oc1ccc(CN2CCC3(CC2)OC(c4cc(Cl)ccn4)c5ccccc35)cc1	0.06
[O-][n+]1ccc(Cl)cc1C2OC3(CCN(Cc4ccc(OC(F)(F)F)cc4)CC3)c5ccccc25	0.6
FC(F)(F)Oc1ccc(cc1)S(=O)(=O)N2CCC3(CC2)OC(c4cc(Cl)cc(Cl)c4)c5cccnc35	0.06
[O-][n+]1ccc(Cl)cc1C2OC3(CCN(CC3)S(=O)(=O)c4ccc(cn4)C(F)(F)F)c5ccccc25	5
CCN(C1CCN(CC[C@H](c2ccc(cc2)S(=O)(=O)C)c3cc(F)cc(F)c3)CC1)C(=O)Cc4ccc(cc4)S(=O)(=O)C	18
CCN(C1CCN(CC[C@H](C2CCN(CC2)S(=O)(=O)C)c3cc(F)cc(F)c3)CC1)C(=O)Cc4ccc(cc4)S(=O)(=O)C	8
Cc1nn(C)c(C)c1NS(=O)(=O)c2c(Cl)cc(cc2Cl)c3ccnc(c3)N4CCNCC4	18
C[C@@](CCc1ccc(cc1)c2ccccc2)(C(=O)NO)S(=O)(=O)C	2
CN(C1CCN(Cc2ccc(cc2)C(F)(F)F)CC1)C(=O)Cc3ccc(cc3)n4cnnn4	7.6
CC[C@@H]1C[C@]1(NC(=O)[C@@H]2C[C@H](CN2C(=O)[C@@H](NC(=O)OC3C[C@@H]4C[C@@H]4C3)C(C)(C)C)Oc5cc(nc6c(Cl)c(OCCN7CCOCC7)ccc56)c8csc(NC(C)C)n8)C(=O)O	2.6
CCOc1cc2nccc(Oc3cnc(CC(=O)Nc4n[nH]c(CC)c4C)c(OC)c3)c2cc1OC	3
COc1ccc2c(Oc3ccc(CC(=O)Nc4cn(C)nc4C)c(OC)c3)ccnc2c1.OS(=O)(=O)O	0.9
CN(C)[C@]1(C)C[C@H]([C@@H](C1)c2ccc(F)cc2F)C(=O)N3CCC(CC3)c4cc(C)nn4c5ccc(F)c(Cl)c5	6.4
Cc1cc(ccc1Cl)n2nc(C)nc2C3CCN(CC3)C(=O)[C@@H]4C[C@@](C)(N)C[C@H]4c5ccc(F)cc5F	7.6
C[C@]1(N)C[C@@H]([C@H](C1)c2ccc(F)cc2F)C(=O)N3CCC(CC3)c4ccnn4c5ccc(F)c(Cl)c5	10
CN(C)[C@]1(C)C[C@H]([C@@H](C1)c2ccc(F)cc2F)C(=O)N3CCC(CC3)c4nc(C)nn4c5ccc(Cl)c(C)c5	5
CN(C)[C@@H]1C[C@H]([C@@H](C1)c2ccc(F)cc2F)C(=O)N3CCC(CC3)c4nc(C)nn4c5ccc(Cl)c(C)c5	22
CN(C)[C@]1(C)C[C@H]([C@@H](C1)c2ccc(F)cc2F)C(=O)N3CCC(CC3)c4nc(C)nn4c5ccc(F)c(Cl)c5	32
Cc1cc(C2CCN(CC2)C(=O)[C@@H]3C[C@@](C)(N)C[C@H]3c4ccc(F)cc4F)n(n1)c5ccc(F)c(Cl)c5	4.3
Cc1cc(C2CCN(CC2)C(=O)[C@@H]3C[C@@](C)(N)C[C@H]3c4ccc(F)cc4F)n(n1)c5cc(Cl)ccc5Cl	7.1
C[C@@]1(N)C[C@H]([C@@H](C1)c2ccc(F)cc2F)C(=O)N3CCC(CC3)c4ncnn4c5ccc(F)c(Cl)c5	21
CN(C)[C@]1(C)C[C@H]([C@@H](C1)c2ccc(F)cc2F)C(=O)N3CCC(CC3)c4cc(C)nn4c5cc(Cl)ccc5Cl	8.7
Cc1cc(C2CCN(CC2)C(=O)[C@@H]3C[C@](C)(N)C[C@H]3c4ccc(F)cc4F)n(n1)c5ccc(F)c(Cl)c5	6.9
